SUBMISSIONYEARQUARTER,PWSID,SAMPLE_ID,SAMPLING_END_DATE,SAMPLING_START_DATE,RECONCILIATION_ID,SAMPLE_FIRST_REPORTED_DATE,SAMPLE_LAST_REPORTED_DATE,SAR_ID,CONTAMINANT_CODE,RESULT_SIGN_CODE,SAMPLE_MEASURE,UNIT_OF_MEASURE,SAR_FIRST_REPORTED_DATE,SAR_LAST_REPORTED_DATE
2025Q1,GA0770114,GA50172,12/31/2014,01/01/2014,,11/17/2014,11/19/2015,17727304,CU90,,2.1,mg/L,11/17/2014,11/19/2015
2025Q1,GA1950011,GA49449,12/31/2014,01/01/2014,,11/17/2014,11/19/2015,17727315,CU90,,1.455,mg/L,11/17/2014,11/19/2015
2025Q1,GA2410035,GA48536,12/31/2014,01/01/2012,,11/17/2014,11/19/2015,17727320,CU90,,2.15,mg/L,11/17/2014,11/19/2015
2025Q1,GA2450011,GA49406,12/31/2014,01/01/2014,,11/17/2014,11/19/2015,17727322,CU90,,1.565,mg/L,11/17/2014,11/19/2015
2025Q1,GA2550002,GA48986,12/31/2014,01/01/2014,,11/17/2014,11/19/2015,17727326,CU90,,1.8,mg/L,11/17/2014,11/19/2015
2025Q1,GA0090048,GA48804,12/31/2014,01/01/2014,,11/17/2014,11/19/2015,17727335,CU90,,7.05,mg/L,11/17/2014,11/19/2015
2025Q1,GA0850027,GA50160,12/31/2014,01/01/2014,,11/17/2014,12/21/2023,17727343,CU90,,1.7,mg/L,11/17/2014,12/21/2023
2025Q1,GA0010000,GA49300,12/31/2015,01/01/2013,,11/17/2014,08/24/2015,17726466,PB90,,0,mg/L,11/17/2014,08/24/2015
2025Q1,GA0030000,GA50008,12/31/2015,01/01/2013,,11/17/2014,11/19/2015,17726467,PB90,,.016,mg/L,11/17/2014,11/19/2015
2025Q1,GA0130002,GA49150,12/31/2015,01/01/2013,,11/17/2014,08/24/2015,17726486,PB90,,0,mg/L,11/17/2014,08/24/2015
2025Q1,GA0150000,GA49709,12/31/2016,01/01/2014,,11/17/2014,11/19/2015,17726491,PB90,,.0025,mg/L,11/17/2014,11/19/2015
2025Q1,GA0150002,GA49333,12/31/2016,01/01/2014,,11/17/2014,12/21/2023,17726502,PB90,,.0025,mg/L,11/17/2014,12/21/2023
2025Q1,GA0190002,GA48426,12/31/2015,01/01/2013,,11/17/2014,08/24/2015,17726510,PB90,,.0025,mg/L,11/17/2014,08/24/2015
2025Q1,GA0210001,GA48914,12/31/2016,01/01/2014,,11/17/2014,08/24/2015,17726514,PB90,,.0025,mg/L,11/17/2014,08/24/2015
2025Q1,GA0230000,GA48642,12/31/2015,01/01/2013,,11/17/2014,08/24/2015,17726518,PB90,,.0025,mg/L,11/17/2014,08/24/2015
2025Q1,GA0390013,GA49995,12/31/2014,01/01/2012,,11/17/2014,11/19/2015,17726550,PB90,,.0025,mg/L,11/17/2014,11/19/2015
2025Q1,GA0450000,GA49209,12/31/2015,01/01/2013,,11/17/2014,08/24/2015,17726557,PB90,,.0054,mg/L,11/17/2014,08/24/2015
2025Q1,GA0450002,GA49240,12/31/2016,01/01/2014,,11/17/2014,08/24/2015,17726564,PB90,,0,mg/L,11/17/2014,08/24/2015
2025Q1,GA0450002,GA49525,12/31/2014,01/01/2012,,11/17/2014,08/24/2015,17726565,PB90,,0,mg/L,11/17/2014,08/24/2015
