SUBMISSIONYEARQUARTER,PWSID,SERVICE_AREA_TYPE_CODE,IS_PRIMARY_SERVICE_AREA_CODE,FIRST_REPORTED_DATE,LAST_REPORTED_DATE
2025Q1,GA0150062,HM,,,07/22/1995
2025Q1,GA0150064,HM,Y,,07/22/1995
2025Q1,GA0150066,SS,,,07/22/1995
2025Q1,GA0150068,PA,Y,,09/13/2003
2025Q1,GA0150070,PA,Y,,06/17/2021
2025Q1,GA0150072,IA,Y,,07/22/1995
2025Q1,GA0150073,IA,Y,,09/13/2003
2025Q1,GA0150079,HM,Y,,07/22/1995
2025Q1,GA0150082,SK,Y,,07/22/1995
2025Q1,GA0150100,SK,Y,,03/20/2025
2025Q1,GA0150101,SK,Y,,03/20/2025
2025Q1,GA0150102,SK,Y,,02/25/2008
2025Q1,GA0150103,IA,Y,,07/22/1995
2025Q1,GA0150104,PA,Y,,11/15/2005
2025Q1,GA0150105,IN,Y,,08/27/2010
2025Q1,GA0150106,SU,Y,08/27/2010,03/20/2025
2025Q1,GA0150107,ON,Y,08/19/2014,03/20/2025
2025Q1,GA0170000,MU,Y,,03/20/2025
2025Q1,GA0170001,OR,Y,,07/22/1995
2025Q1,GA0170002,MP,Y,,03/20/2025
2025Q1,GA0170004,SU,Y,,08/19/2014
2025Q1,GA0190000,MU,Y,,03/20/2025
2025Q1,GA0190001,MU,Y,,03/20/2025
2025Q1,GA0190006,SK,Y,,03/20/2025
2025Q1,GA0190002,MU,Y,,03/20/2025
2025Q1,GA0190003,MU,Y,,03/20/2025
2025Q1,GA0190004,SC,Y,,07/22/1995
2025Q1,GA0190011,RA,,,07/22/1995
2025Q1,GA0190012,MH,Y,,07/22/1995
2025Q1,GA0190014,RS,Y,,03/20/2025
2025Q1,GA0190016,MH,Y,,07/22/1995
2025Q1,GA0190021,OA,,,07/22/1995
2025Q1,GA0190028,IN,Y,12/03/2008,03/20/2025
2025Q1,GA0210000,OA,,,07/22/1995
2025Q1,GA0210001,MU,Y,,03/20/2025
2025Q1,GA0210002,SC,Y,,07/22/1995
2025Q1,GA0210003,MH,Y,,07/22/1995
2025Q1,GA0210004,SU,Y,,05/19/2009
2025Q1,GA0210005,SU,Y,,06/19/2019
2025Q1,GA0210006,SU,Y,,06/19/2019
2025Q1,GA0210007,SU,Y,,05/19/2009
2025Q1,GA0210008,SU,Y,,06/19/2019
2025Q1,GA0210010,RA,Y,,07/22/1995
2025Q1,GA0210012,MP,Y,,03/20/2025
2025Q1,GA0210013,MP,Y,,09/30/2005
2025Q1,GA0210014,MH,Y,,07/22/1995
2025Q1,GA0210015,RA,,,07/22/1995
2025Q1,GA0210016,IA,Y,,07/22/1995
2025Q1,GA0210017,OA,,,07/22/1995
2025Q1,GA0210021,SU,Y,,06/19/2019
2025Q1,GA0210022,SU,Y,,06/19/2019
2025Q1,GA0210024,SU,Y,,06/19/2019
2025Q1,GA0210025,MP,Y,,09/30/2005
2025Q1,GA0210032,RA,,,07/22/1995
2025Q1,GA0210033,RA,Y,,07/22/1995
2025Q1,GA0210034,MP,Y,,05/23/2002
2025Q1,GA0210035,MP,Y,,09/13/2003
2025Q1,GA0210036,RS,Y,,07/22/1995
2025Q1,GA0210045,RA,,,07/22/1995
2025Q1,GA0210049,RS,,,07/22/1995
2025Q1,GA0210050,RS,,,07/22/1995
2025Q1,GA0210051,DC,Y,,05/23/2002
2025Q1,GA0210054,RS,,,07/22/1995
2025Q1,GA0210055,OR,Y,,07/22/1995
2025Q1,GA0210057,PA,Y,,11/28/2011
2025Q1,GA0210062,IA,Y,,07/22/1995
2025Q1,GA0210065,IA,Y,,09/30/2005
2025Q1,GA0210074,RA,Y,,07/22/1995
2025Q1,GA0210075,SU,Y,,03/20/2025
2025Q1,GA0210076,SU,Y,,06/19/2019
2025Q1,GA0210078,SU,Y,,03/20/2025
2025Q1,GA0210079,SC,Y,,09/05/2001
2025Q1,GA0230000,MU,Y,,03/20/2025
2025Q1,GA0230001,SC,Y,,11/29/2010
2025Q1,GA0230002,SC,,,07/22/1995
2025Q1,GA0230003,OR,Y,,03/20/2025
2025Q1,GA0230004,RA,,,07/22/1995
2025Q1,GA0230005,RA,Y,,07/22/1995
2025Q1,GA0230007,RA,Y,,07/22/1995
2025Q1,GA0230015,RS,Y,,07/22/1995
2025Q1,GA0230019,RS,,,07/22/1995
2025Q1,GA0230021,RS,Y,,08/22/2006
2025Q1,GA0230023,SS,,,07/22/1995
2025Q1,GA0230025,RS,Y,,05/23/2002
2025Q1,GA0230026,ON,Y,,02/20/2013
2025Q1,GA0230027,SU,Y,08/25/2008,11/15/2017
2025Q1,GA0230028,PA,Y,08/25/2008,03/20/2025
2025Q1,GA0250000,MU,Y,,03/20/2025
2025Q1,GA0250002,MU,Y,,03/20/2025
2025Q1,GA0250003,MP,Y,,03/20/2025
2025Q1,GA0250004,SU,Y,,03/20/2025
2025Q1,GA0250006,SU,Y,,03/20/2025
2025Q1,GA0250007,OA,,,07/22/1995
2025Q1,GA0250008,OA,,,07/22/1995
2025Q1,GA0250010,RA,,,07/22/1995
2025Q1,GA0250014,SC,Y,,03/20/2025
2025Q1,GA0250016,RS,,,07/22/1995
2025Q1,GA0250017,OA,,,07/22/1995
2025Q1,GA0250018,RS,,,07/22/1995
2025Q1,GA0250019,SC,Y,,03/20/2025
2025Q1,GA0250020,RA,Y,,03/20/2025
2025Q1,GA0250021,RA,Y,,03/20/2025
2025Q1,GA0250022,SC,Y,,03/20/2025
2025Q1,GA0250023,DC,Y,,03/20/2025
2025Q1,GA0250026,SU,Y,11/16/2009,03/20/2025
2025Q1,GA0250027,SR,Y,08/19/2009,03/20/2025
2025Q1,GA0250028,SU,Y,11/16/2009,03/20/2025
2025Q1,GA0250029,OT,Y,02/15/2019,03/20/2025
2025Q1,GA0270000,MU,Y,,03/20/2025
2025Q1,GA0270001,MU,Y,,03/20/2025
2025Q1,GA0270002,MU,Y,,03/20/2025
2025Q1,GA0270005,SC,Y,,09/30/2005
2025Q1,GA0270006,SU,Y,,03/20/2025
2025Q1,GA0270007,MP,Y,,03/20/2025
2025Q1,GA0270008,SC,Y,,07/22/1995
2025Q1,GA0270009,SU,Y,,03/20/2025
2025Q1,GA0270010,MP,Y,,03/20/2025
2025Q1,GA0270011,SU,Y,,03/20/2025
2025Q1,GA0270027,OR,Y,,03/20/2025
2025Q1,GA0270028,IA,Y,08/15/2013,03/20/2025
2025Q1,GA0270029,SU,Y,,03/20/2025
2025Q1,GA0270030,IA,Y,,08/24/2015
2025Q1,GA0270031,SC,Y,,07/22/1995
2025Q1,GA0270032,OT,Y,,05/26/2011
2025Q1,GA0270033,IA,Y,,11/16/2007
2025Q1,GA0270034,OR,Y,,06/24/2005
2025Q1,GA0270035,OR,Y,,07/22/1995
